Entity_1,Relation,Entity_2,Evidence_PMIDs,Extracted_By,Human_Score,
GNR-100,IS_SIMILAR_TO,Nusinersen,41754920,LLM_Qwen2.5_7B,1,
TBCE,ASSOCIATED_WITH,PEAMO (progressive encephalopathy with amyotrophy and optic atrophy),41833177,LLM_Qwen2.5_7B,1,
Cr,ASSOCIATED_WITH,RULM scores,41580653,LLM_Qwen2.5_7B,1,
oral language disorders,MORE_FREQUENT_IN,children with more severe motor phenotypes,41616662,LLM_Qwen2.5_7B,1,
median nerve,HAS_CSA,CSA,41645345,LLM_Qwen2.5_7B,1,
Spinal Muscular Atrophy,CHARACTERIZED_BY,degeneration of spinal cord motor neurons and neuromuscular junctions,"4,127,881,541,716,910",LLM_Qwen2.5_7B,2,
neuronal-astrocyte interactions,REGULATES,"GABA metabolism, release and reuptake",41764202,LLM_Qwen2.5_7B,2,
telomere length,REPRESENTS,a biomarker for disease severity and treatment response,41303705,LLM_Qwen2.5_7B,1,
SKG0201,ACHIEVED,head control,41782369,LLM_Qwen2.5_7B,1,
SMA neurons,HAD_TRANScriptionAL_RESPONSE,"4,559 transcriptional profiles",41278815,LLM_Qwen2.5_7B,0,
GFAP,IS_A_MARKER_OF,diagnostic and prognostic importance for SMA disease,41447401,LLM_Qwen2.5_7B,1,
TBCE,ASSOCIATED_WITH,gastrointestinal dysfunctions,41833177,LLM_Qwen2.5_7B,1,
TBCE,ASSOCIATED_WITH,scoliosis,41833177,LLM_Qwen2.5_7B,1,
CMAP,ASSOCIATES_WITH,clinical severity,41772190,LLM_Qwen2.5_7B,1,
glial cells,MEDIATED,neuroinflammatory and neurotoxicity signaling,41655958,LLM_Qwen2.5_7B,2,
SMN protein,TARGET_OF,disease modifying treatments,41644485,LLM_Qwen2.5_7B,1,
headache,TREATMENT_RELATED_ADVERSE_EFFECT_OF,OAV101 IT,41360995,LLM_Qwen2.5_7B,2,
Ighmbp2(R604X/R604X) mice,HAS_PHENOTYPE,hindlimb electrophysiology alterations,41276031,LLM_Qwen2.5_7B,2,
TBCE,ASSOCIATED_WITH,optic atrophy,41833177,LLM_Qwen2.5_7B,1,
24 months,SCORE,44.5,41302155,LLM_Qwen2.5_7B,0,
Great Ormond Respiratory Score,ASSESSES,respiratory function,41671781,LLM_Qwen2.5_7B,2,
Trisomy 21,CO_OCCURS_WITH,Spinal Muscular Atrophy,41240977,LLM_Qwen2.5_7B,2,
SMN2,IS_THE_PRIMARY_MODIFIER_OF,Spinal muscular atrophy (SMA),41447746,LLM_Qwen2.5_7B,2,
peripheral factors,MODULATION_OF,central nervous system,41655958,LLM_Qwen2.5_7B,1,
Valproic Acid,RESCUED,vitality and morphology,41402453,LLM_Qwen2.5_7B,1,
neural genes,EXAMINED_IN,CMAP(neuro) platform,41278815,LLM_Qwen2.5_7B,0,
branaplam,EXHIBITS,delayed T(max),41579854,LLM_Qwen2.5_7B,2,
baseline motor function,INFLUENCES,outcomes,41854353,LLM_Qwen2.5_7B,1,
taurine,DYSREGULATES,SMN deficiency,41699158,LLM_Qwen2.5_7B,0,
leptin protein,ALTERED,Spinal Muscular Atrophy,41247344,LLM_Qwen2.5_7B,1,
PDD,REDUCES,DNA damage accumulation,41548771,LLM_Qwen2.5_7B,2,
Kruppel-like factor 15 (Klf15),INVOLVED_IN,glucocorticoid-glucocorticoid receptor (GR) signalling pathway,41249338,LLM_Qwen2.5_7B,2,
Nusinersen,IMPROVES,Hammersmith Functional Motor Scale Expanded score,41706311,LLM_Qwen2.5_7B,2,
SMN protein,EXPRESSION_OUTSIDE,central nervous system,41655958,LLM_Qwen2.5_7B,1,
p.S87L,REDUCES,PARP1 expression,41548771,LLM_Qwen2.5_7B,2,
Onasemnogene Abeparvovec,TREATS_MENTION,Spinal Muscular Atrophy,"39457418,39086961,38749258,40022865,40364205,40289052,39982664,40538117,39415296,39585055,36764497,37211209,39272200,39577865,38073249,40104176,36946394,40765022,40013321,38483631,39708835,36329412,36736907,37392188,38169987,40329332,37455203,37277563,37372153,36136906,40017665,39505005,36947403,37841286,39111255,38790585,38162454,38839888,38650097,40986347,37843301,40625130,37194521,40382143,38107546,38090542,37569314,37778092,36278622,40879810,38450080,40705999,39363429,40509660,36611608,39311111,39804575,40269260,37780708,37376212,41235102,37995087,40169808,39189228,37731145,39378752,38929996,36722610,39189230,41109767,39051410,38073182,41149786,38348442,39333302,39955617,38487326,41212681,40009418,39140576,36780114,36320416,39434961,37371230,36157294,38233181,39637213,39593150,38713659,37891814,37003633,40863714,39087519,41133701,38142474,39260228,37091744,41217888,40868194,40758792,37851043,38854961,36762938,37563072,40956616,38669792,38905882,38465810,39840097,39625559,37822718,41122612,38543180,40533496,39420400,39739027,37065340,37092232,38223869,38181723,37598295,38878702,38462459,40622452,36285446,38676690,39125934,37776479,36520510,40778350,39180957,37009768,39129236,38306058,40624473,37177842,39689850,38160362,38250783,37691296,38896399,38267192,41060652,39794476,37419673,40018025,37657961,39604484,37197706,39327607,38733387,37772805,38413838,36911944,40025752,40803915,40805927,37149951,36319109,41007120,39426797,40365794,38878146,38413837,36855136,37964159,37587305,40538493,37907848,40630496,36674643,39969920,39370660,38189761,39341653,38894541",Regex_Fallback,1,
MUNIX,DISTINGUISHES,SMA patients from controls,41772190,LLM_Qwen2.5_7B,2,
scoliosis,PROGRESSES,standing patients,41499282,LLM_Qwen2.5_7B,1,
home-based respiratory physiotherapy,IMPROVES,energy/fatigue,41770482,LLM_Qwen2.5_7B,2,
SMN deficiency,AFFECTS,kidneys,41540943,LLM_Qwen2.5_7B,1,
helper viruses,CONTRIBUTE_TO,formation of complex concatemeric DNA structures,41545588,LLM_Qwen2.5_7B,2,
Tau levels,ELEVATE,gene therapy,41607656,LLM_Qwen2.5_7B,0,
SMN1 gene,CAUSED_BY,Spinal muscular atrophy (SMA),"4,166,039,641,825,230,000,000,000,000,000,000,000,000",LLM_Qwen2.5_7B,0,
BMI,HIGHER_THAN,good sleepers,41400829,LLM_Qwen2.5_7B,0,
SMN1 gene,DEFICIENCY,dwarfism,41320719,LLM_Qwen2.5_7B,1,
metabolic disturbances,CHARACTERIZED_BY,pathology,41720432,LLM_Qwen2.5_7B,0,
DMTs,AFFECTS,bulbar integrity,41508057,LLM_Qwen2.5_7B,1,
myostatin inhibitors,TARGETS,SMA,41789956,LLM_Qwen2.5_7B,2,
respiratory ventilation support devices,USED_BY,cohort of 104 patients,41302155,LLM_Qwen2.5_7B,0,
Spinal Muscular Atrophy,HAS_OUTCOME,behavioural differences,41576881,LLM_Qwen2.5_7B,1,
VAPB P56S mutation,IMPAIRS,VAPB-PTPIP51 interaction,41536906,LLM_Qwen2.5_7B,2,
Onasemnogene Abeparvovec,ADVANTAGES_OVER,natural progression of the disease,41284552,LLM_Qwen2.5_7B,1,
nusinersen-like antisense oligonucleotide,PREVENTED,lymphoid pathology,41683702,LLM_Qwen2.5_7B,2,
spinal muscular atrophy type 0,HAS_OUTCOME,sustained development without swallowing or respiratory difficulties up to 3.5 years of age,41795276,LLM_Qwen2.5_7B,1,
acylcarnitines,ELEVATED,SMA plasma samples,41825231,LLM_Qwen2.5_7B,1,
Risdiplam,IMPROVES,upper-limb improvement,41644600,LLM_Qwen2.5_7B,1,
Spinal Muscular Atrophy,HAS_OUTCOME,motor outcomes,41576881,LLM_Qwen2.5_7B,1,
neuromuscular modulators,TARGETS,SMA,41789956,LLM_Qwen2.5_7B,2,
BICD2 variant,ASSOCIATED_WITH,cerebellar hypoplasia,41249097,LLM_Qwen2.5_7B,1,
SMN,IMPACTS,neuronal-astrocyte interactions,41764202,LLM_Qwen2.5_7B,1,
Ighmbp2(R604X/R604X) mice,HAS_PHENOTYPE,lung pathology,41276031,LLM_Qwen2.5_7B,2,
ssAAV9-WT-IGHMBP2 vector,EXTENDS_SURVIVAL,Ighmbp2(R604X/R604X) mice,41276031,LLM_Qwen2.5_7B,2,
10H-phenothiazine,INDUCED,protective effects on neuronal survival and morphology,41402453,LLM_Qwen2.5_7B,1,
VAPB P56S mutation,ACTIVATES,CaMKII,41536906,LLM_Qwen2.5_7B,2,
SMA,HAS_TYPE,SMA type 4,41691542,LLM_Qwen2.5_7B,2,
Risdiplam,TREATS,Spinal muscular atrophy (SMA),"4,152,436,741,398,090",LLM_Qwen2.5_7B,2,
SMN protein,DEFICIENCY_OF,Spinal muscular atrophy (SMA),41540943,LLM_Qwen2.5_7B,0,
Nusinersen,SWITCHED_FROM,Risdiplam,41668709,LLM_Qwen2.5_7B,1,
population PBPK modeling,EXTRAPOLATES,PK to unstudied pediatric populations,41607354,LLM_Qwen2.5_7B,0,
SMN-restoring disease-modifying therapies,IMPROVES,motor function,41791198,LLM_Qwen2.5_7B,2,
exons 2-20 of the DMD gene,INVOLVES,tandem duplication,41691287,LLM_Qwen2.5_7B,1,
SMN,INVOLVED_IN,hypertrophic chondrocytes differentiation,41320719,LLM_Qwen2.5_7B,2,
SMN1,ASSOCIATED_WITH_MENTION,Spinal Muscular Atrophy,"38097128,39325116,38158006,40028690,39201486,37189623,39585055,37211209,38311554,39246602,38586164,39035824,36481799,39810393,40762286,37372153,39967510,36381256,36711797,37146794,40640928,37479010,38581475,37614112,38137033,39000416,38215341,36414255,37731145,40158884,41162409,41091952,37280710,40176376,39051407,39984716,39846593,40820838,39149335,38180726,38020652,37851043,40774447,37337091,39955442,38894621,38384244,40720034,38520993,38388850,36460469,40119448,38309554,38392683,38714739,36560896,39200246,40754463,40195114,37238925,36996170,38817128,40923389,40775246,40355367,39794476,38135619,39456991,36911944,40301740,36930296,38344354,40672150,36278357,38923503,36846472,40429681,38413837,38884441,37711122,37620083,39584662,38002071,40630496,39086841,39202360,37498175,37322133,38464174,36828874,39217494,37799281,40367190,38977330,39976226,37392188,38214229,39670433,40017665,39505005,37841286,38790585,38136980,36138164,37843301,38697430,37543540,39183150,40824197,37064776,40565604,37762045,41027372,36803361,36142791,41109767,40076610,37225410,40225149,39399564,39500858,39962788,39088538,38487326,37424474,36669496,40943847,39905579,36994015,36882285,38448017,38284446,37470033,36849544,41028674,37211996,36316089,37510307,38390973,36604149,38750391,36421785,39920747,38316428,39831309,36713073,38413838,40412589,36417168,39048567,38893532,38972959,40186953,40384931,36859245,39468964,39457418,37621829,40804727,37289324,39497486,41078332,36812914,41107965,38073249,41139502,38750052,39559164,38562051,36897914,36709931,40986347,37194521,39529156,36140824,37927698,39398417,37569314,40282862,38057426,39139818,36669516,39363429,38846202,39342433,40641403,40094379,39622884,39051410,38520738,40163981,37108811,36375840,39051405,37596438,37964750,40900970,39321203,40193572,40720033,38709394,38142474,36762938,37023488,40956616,37572575,38465810,38043977,36607273,40267637,37065340,38405995,36605788,40275389,36376972,40153758,38223869,38490302,41133709,37932106,37292524,39848090,39587573,37750622,37705059,39815358,37211998,36534265,39264856,37295266,37218894,40874867,39327607,39666039,41107550,36550013,41031555,38189761,40752627,39506867,32809522,36208849,38654739,40350397,40868076,39720178,38396640,40843906,40522061,39953527,36329412,36255739,37458045,38915908,40329332,40869213,37957344,41103255,39392569,36603028,39067446,39690549,39492846,39392101,37606479,40768667,38450080,39988971,38600653,37376212,37991656,40490594,40018937,39829133,40287831,40458203,38515714,41212681,38171554,37704354,37087898,37568462,37280513,39637213,37822034,36776076,38860968,40069872,39343938,38781723,36314213,40099840,37346932,39706225,38391004,37906147,39062735,38468256,38325644,39051406,39904776,39973467,38470509,40137462,38540372,36864825,38806879,38561840,40183438,39689850,37578329,39344612,37332684,37542300,36319109,38533877,37594310,36408582",Regex_Fallback,1,
SMA,HAS_TYPE,SMA type 3b,41691542,LLM_Qwen2.5_7B,2,
total SF-36 score,LOWER_THAN,good sleepers,41400829,LLM_Qwen2.5_7B,0,
scoliosis,DEVELOPS_IN,patients with SMA type I,41499282,LLM_Qwen2.5_7B,1,
MVC,MEASURED_BY,Maximal voluntary contraction,41604314,LLM_Qwen2.5_7B,0,
baseline,SCORE,29,41302155,LLM_Qwen2.5_7B,0,
neuromuscular junction,ABERRANT_RETROGRADE_SIGNALING_FROM,Spinal Muscular Atrophy,41655958,LLM_Qwen2.5_7B,0,
F18MOE,AFFECTS,organelles,41551726,LLM_Qwen2.5_7B,1,
Nusinersen,INCREASES,independence,41811872,LLM_Qwen2.5_7B,1,
Risdiplam,MAINTAINS,overall motor stability,41644600,LLM_Qwen2.5_7B,2,
dicarboxylic aciduria,ALTERED,Spinal Muscular Atrophy,41247344,LLM_Qwen2.5_7B,0,
Nusinersen,TREATS,Spinal muscular atrophy (SMA),"4,140,208,541,551,720",LLM_Qwen2.5_7B,2,
IGHMBP2,ASSOCIATED_WITH,Guillain-Barre syndrome-like phenotype,41468720,LLM_Qwen2.5_7B,1,
population PBPK modeling,ASSESSES,DDI risk,41607354,LLM_Qwen2.5_7B,0,
Nusinersen,TREATS,spinal muscular atrophy type 0,41795276,LLM_Qwen2.5_7B,2,
IgA nephropathy (IgAN),CO_EXIST_WITH,Spinal muscular atrophy (SMA),41660396,LLM_Qwen2.5_7B,2,
pNfL,CORRELATES_WITH,motor function improvements,41556253,LLM_Qwen2.5_7B,2,
SMN protein,CAUSED_BY,deficiency,41655958,LLM_Qwen2.5_7B,0,
OAV101 IT,TREATS,Spinal muscular atrophy (SMA),41360995,LLM_Qwen2.5_7B,2,
AAV9-IGHMBP2,IMPROVES,motor function,41486111,LLM_Qwen2.5_7B,2,
global PSQI score,WORSE_THAN,HC,41400829,LLM_Qwen2.5_7B,0,
CNS diseases,AFFECTED_BY,heterogeneity in patient genetics and clinical presentations,41716912,LLM_Qwen2.5_7B,0,
Tau levels,REFLECT,acute neuronal vulnerability,41607656,LLM_Qwen2.5_7B,2,
Nusinersen,TREATS_MENTION,Spinal Muscular Atrophy,"39447351,40022865,39325116,39076847,36810103,40289052,40028690,39282710,37189623,40107088,39585055,36764497,38562520,40762286,40686700,38162454,38839888,36333803,39997303,39484528,39592557,41126632,36611608,40577678,39379509,37453233,36310036,41149786,40553176,37062018,40010612,39140576,40526097,41133701,36180649,37851043,40600202,37290230,40720034,39967428,36525882,38111627,38929947,40320994,39136364,38181723,38040488,39047390,38676690,39125934,39200246,37009768,40047158,38363614,36996170,38817128,39102865,40085221,38192577,37780204,39973581,38135619,40576143,37197706,36836806,36382221,36855136,39690144,38383503,36297509,38330697,37109175,39360659,38612621,40538117,36645543,38902631,37951159,40357918,36690929,40504745,40720012,40367190,39960588,40720035,37712193,37541812,40205228,39505005,39787994,37843301,38936290,37543540,36861214,38107546,37064776,40879810,39584192,38916214,38267835,37095427,40922023,37724723,36803361,41109767,36442421,41114807,37898509,40482302,38487326,40009418,39744899,41137787,39593150,37891814,38828890,39564164,40868194,38854961,36800969,37194505,39739027,40625177,38722537,36932845,38633535,40451126,39845577,36193036,39129236,41028674,37830588,36799745,39722044,37289231,37177842,39951861,36316089,39254732,37891788,39113515,39655308,36872785,37657961,39604484,39734614,40270050,38733387,39246033,40803915,39755602,41007120,40720009,38893532,36576208,36759863,36513962,38921951,37587305,37907848,39034388,36674643,38031122,39457418,40150095,40619819,36873628,36792810,40879446,40924495,39577865,40765022,36210235,39708835,38750052,38532567,39955912,37181426,36214191,37277563,36382115,37735861,38927369,36274155,38692053,36947403,37194521,37147157,38090542,39240344,40515429,36457580,37569314,39311340,36854931,39363429,37155209,36175810,40169808,39201821,37369805,39378752,38954034,41174958,38929996,38268028,40180233,39030456,39652856,39051410,40163981,39590926,37989659,38924263,36157294,38233181,40900970,39718202,40534528,37466180,39842910,39755539,40034011,37690419,40720033,39010073,40758792,36762938,37563072,40956616,38589769,37572575,38465810,39420400,37065340,40291843,40913965,40566025,36520510,39675174,39848090,37409780,37705059,40743658,40408826,39514033,37419673,36534265,39054521,37239800,39264856,37295266,39222296,36636888,36678797,41053611,41153560,40576875,39201450,38039623,37992742,38331667,39426797,38861761,37602664,36471456,38831860,39969920,38189761,40752627,38894541,39518446,40011938,38330285,39014952,36565133,40364205,39982664,40868076,40241365,36343513,40013321,39096012,38756215,37568304,36329412,40689874,38963060,39946662,37892834,37957344,39857167,39685824,40140777,37512056,39111255,38932995,38361750,40625130,36291640,38981277,37038823,40401503,36441395,36278622,38600653,40121811,38178730,37780708,37248913,37808480,37995087,40153113,39189228,38888134,40938644,40317045,38073182,40985108,38348442,39829133,39049699,41212681,36780114,41061437,39434961,37069197,40317413,37568462,37280513,39637213,40720008,40863714,40335287,36335004,38669792,38905882,39192445,39832442,40818473,36285446,37649429,38073395,36697233,39904776,38540986,38470509,40212617,38310720,38103972,38267192,41060652,40770841,38689487,39834441,38732027,39344612,39697435,40311394,36247789,37542300,36319109,36195477,40504302,38705943,36880698,38358553,36460551,39370660,38878146,40074846,36408582,36946394",Regex_Fallback,1,
written language disorders,AFFECTS,29% of individuals,41616662,LLM_Qwen2.5_7B,0,
YBX1,BINDS,SMN,41320719,LLM_Qwen2.5_7B,2,
Onasemnogene Abeparvovec,CAUSES,Tau levels,41607656,LLM_Qwen2.5_7B,0,
Risdiplam,INITIATED_TREATMENT_WITH,514 patients,41431300,LLM_Qwen2.5_7B,0,
,,,,,114,57%
